Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,L,236,382,5,618,786,H
2020-08-14,114.09616025168052,114.26507201704837,112.32256397340554,114.17316436767578,165565200,0.0,0.0,,,,,,,
2020-08-17,115.32077192189048,115.3456136689111,113.23419404298527,113.87506866455078,119561600,0.0,0.0,,,,,,,
2020-08-18,113.62170826732759,115.25867867766361,113.27891184628946,114.823974609375,105633600,0.0,0.0,,,,,,,
2020-08-19,115.24129217729593,116.41375148869979,114.8711751280606,114.96804809570312,145538000,0.0,0.0,,,,,,,
2020-08-20,115.01027713779308,117.63589154752721,114.9928871555899,117.5191421508789,126907200,0.0,0.0,,,,,,,
2020-08-21,118.50032257348208,124.06950586930331,118.4879054898575,123.57518768310547,338054800,0.0,0.0,,,,,,,
2020-08-24,127.87502356798173,127.96197347587143,123.1454489008325,125.05317687988281,345937600,0.0,0.0,,,,,,,
2020-08-25,123.9006026789483,124.38001736568759,122.26611107105155,124.02728271484375,211495600,0.0,0.0,,,,,,,
2020-08-26,125.37361825985568,126.18092579345658,124.28312844499354,125.71392822265625,163022400,0.0,0.0,,,,,,,
2020-08-27,126.32996919516287,126.67027915929626,123.04111733671805,124.21109771728516,155552400,0.0,0.0,,,,,,,
2020-08-28,125.20718876882128,125.63444107065376,123.78136185043681,124.00989532470703,187630000,0.0,0.0,,,,,,,
2020-08-31,126.76468609046624,130.16282833920536,125.19478145602959,128.21534729003906,225702700,0.0,4.0,,,,,,,
2020-09-01,131.91157105764202,133.93854260981243,129.69582646557396,133.32249450683594,151948100,0.0,0.0,,,,,,,
2020-09-02,136.71070099803845,137.09820802156298,126.1883820689479,130.5602569580078,200119000,0.0,0.0,,,,,,,
2020-09-03,126.09895303040855,128.01661159750097,119.7299141257599,120.10748291015625,257599600,0.0,0.0,,,,,,,
2020-09-04,119.3026695219197,122.90946858738741,110.18133575492446,120.18698120117188,332607200,0.0,0.0,,,,,,,
2020-09-08,113.22177478438441,118.22956648121193,111.95989433024539,112.0989990234375,231366600,0.0,0.0,,,,,,,
2020-09-09,116.51062207721687,118.37860472695886,114.52340358916231,116.57023620605469,176940500,0.0,0.0,,,,,,,
2020-09-10,119.5908157080139,119.72992040327627,111.78104601965627,112.76471710205078,182274400,0.0,0.0,,,,,,,
2020-09-11,113.83781630029885,114.4936020718347,109.2970221383231,111.28424072265625,180860300,0.0,0.0,,,,,,,
2020-09-14,113.98685526885495,115.1891215611285,112.07912731321281,114.62276458740234,140150100,0.0,0.0,,,,,,,
2020-09-15,117.57379136547137,118.0705960200227,112.8839542136048,114.80162048339844,184642000,0.0,0.0,,,,,,,
2020-09-16,114.49360121936267,115.25867703315409,111.32398517514702,111.41340637207031,154679000,0.0,0.0,,,,,,,
2020-09-17,109.01881661695018,111.48296350378402,108.01526907368182,109.63484954833984,178011000,0.0,0.0,,,,,,,
2020-09-18,109.69446547759142,110.17139368444097,105.41200434745099,106.15721130371094,287104900,0.0,0.0,,,,,,,
2020-09-21,103.87191433656507,109.48580824662707,102.44111455726281,109.37651062011719,195713800,0.0,0.0,,,,,,,
2020-09-22,111.95988647028197,112.13873643192127,108.46238537455837,111.09544372558594,183055400,0.0,0.0,,,,,,,
2020-09-23,110.90667434663558,111.39354078786847,106.08766310970678,106.43543243408203,150718700,0.0,0.0,,,,,,,
2020-09-24,104.49789270959141,109.5454299877924,104.32898094075466,107.52840423583984,167743300,0.0,0.0,,,,,,,
2020-09-25,107.73704508834263,111.72142007441177,106.98189997916761,111.56243896484375,149981400,0.0,0.0,,,,,,,
2020-09-28,114.27499477092385,114.58301119322893,112.0592429474357,114.22531127929688,137672400,0.0,0.0,,,,,,,
2020-09-29,113.81794492594432,114.57308251318636,112.84420450573403,113.36087799072266,99382200,0.0,0.0,,,,,,,
2020-09-30,113.06280539308064,116.51063094518128,112.8938936280925,115.06989288330078,142675200,0.0,0.0,,,,,,,
2020-10-01,116.88819122183325,116.96768178095374,115.08976091039469,116.04362487792969,116120400,0.0,0.0,,,,,,,
2020-10-02,112.16855538039286,114.632709826223,111.50283895622397,112.29772186279297,144712000,0.0,0.0,,,,,,,
2020-10-05,113.18203358024823,115.90452080926171,112.8243336429312,115.75547790527344,106243800,0.0,0.0,,,,,,,
2020-10-06,114.96058948770253,115.37791114231763,111.53264053902521,112.43682861328125,161498200,0.0,0.0,,,,,,,
2020-10-07,113.88749935288317,114.81155629421879,113.400625343562,114.34455871582031,96849000,0.0,0.0,,,,,,,
2020-10-08,115.50707867387494,115.65612158183964,113.85768363217011,114.23526000976562,83477200,0.0,0.0,,,,,,,
2020-10-09,114.54327111571426,116.25228020860591,114.18557118554452,116.22247314453125,100506900,0.0,0.0,,,,,,,
2020-10-12,119.29272751810349,124.380009751654,118.51771349398855,123.60499572753906,240226800,0.0,0.0,,,,,,,
2020-10-13,124.46942124058292,124.58865707370029,118.88534238406011,120.3260726928711,262330500,0.0,0.0,,,,,,,
